Model_ID,Class,Precision,Recall,F1_Score,Overall_Accuracy
DeepLearning_grid_3_AutoML_1_20260617_184901_model_1,3,0.00000,0.00000,0.00000,0.52508
DeepLearning_grid_3_AutoML_1_20260617_184901_model_3,0,0.85092,0.96645,0.90501,0.82613
DeepLearning_grid_3_AutoML_1_20260617_184901_model_3,1,0.00000,0.00000,0.00000,0.82613
DeepLearning_grid_3_AutoML_1_20260617_184901_model_3,2,0.43949,0.31700,0.36833,0.82613
DeepLearning_grid_3_AutoML_1_20260617_184901_model_3,3,0.00000,0.00000,0.00000,0.82613
DeepLearning_grid_1_AutoML_1_20260617_184901_model_6,0,0.75649,0.15324,0.25485,0.19051
DeepLearning_grid_1_AutoML_1_20260617_184901_model_6,1,0.04688,0.00472,0.00857,0.19051
DeepLearning_grid_1_AutoML_1_20260617_184901_model_6,2,0.07684,0.75804,0.13953,0.19051
DeepLearning_grid_1_AutoML_1_20260617_184901_model_6,3,0.00000,0.00000,0.00000,0.19051
DeepLearning_grid_2_AutoML_1_20260617_184901_model_1,0,0.85095,0.73805,0.79049,0.64880
DeepLearning_grid_2_AutoML_1_20260617_184901_model_1,1,0.06377,0.03459,0.04485,0.64880
DeepLearning_grid_2_AutoML_1_20260617_184901_model_1,2,0.14831,0.42266,0.21957,0.64880
DeepLearning_grid_2_AutoML_1_20260617_184901_model_1,3,0.00000,0.00000,0.00000,0.64880
DeepLearning_grid_2_AutoML_1_20260617_184901_model_2,0,0.86631,0.25251,0.39104,0.28941
DeepLearning_grid_2_AutoML_1_20260617_184901_model_2,1,0.07746,0.06918,0.07309,0.28941
DeepLearning_grid_2_AutoML_1_20260617_184901_model_2,2,0.10908,0.89587,0.19448,0.28941
DeepLearning_grid_2_AutoML_1_20260617_184901_model_2,3,0.00000,0.00000,0.00000,0.28941
DeepLearning_grid_1_AutoML_1_20260617_184901_model_4,0,0.72109,0.01639,0.03205,0.09608
DeepLearning_grid_1_AutoML_1_20260617_184901_model_4,1,0.00000,0.00000,0.00000,0.09608
DeepLearning_grid_1_AutoML_1_20260617_184901_model_4,2,0.08425,0.98775,0.15525,0.09608
DeepLearning_grid_1_AutoML_1_20260617_184901_model_4,3,0.00000,0.00000,0.00000,0.09608
